epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1741,1.43343,2.72403,0.25252,1.10011,2.50582,0.1875,0.35294,0.19057,0.04295,0.09375,0.17647,0.05823,0.0068,3.04879,6.55313,0.37712,29.0988,17.8807,0.0702381,0.00330688,0.00330688
2,28.7893,0.94166,2.08604,0.17807,0.56573,1.78659,0.64306,0.74254,0.68488,0.28274,0.47618,0.53499,0.44582,0.14078,2.06828,4.54385,0.25243,5.21389,5.13397,0.0401066,0.00650874,0.00650874
3,41.1375,0.74677,1.89462,0.16626,0.46744,1.53779,1,0.9334,0.979,0.44899,0.93706,0.87617,0.90754,0.56537,1.68233,1.94916,0.25998,1.19341,4.40159,0.00984314,0.00957859,0.00957859
4,53.5907,0.59129,1.79521,0.15682,0.37896,1.34843,0.99043,1,0.995,0.53539,0.99043,1,0.995,0.6025,1.58669,1.79006,0.22855,0.65105,4.10955,0.009406,0.009406,0.009406
5,65.8622,0.45904,1.59627,0.15179,0.31515,1.1896,0.98309,1,0.995,0.497,0.98309,1,0.995,0.57476,1.84129,2.01285,0.24832,0.76299,4.24858,0.009208,0.009208,0.009208
6,77.9386,0.41648,1.39928,0.13564,0.2779,1.13264,1,0.9985,0.995,0.50012,1,0.9985,0.995,0.59168,1.56939,1.86666,0.19371,0.62228,3.89045,0.00901,0.00901,0.00901
7,90.0699,0.34827,1.22542,0.11053,0.23952,1.05962,1,0.98723,0.995,0.52539,1,0.98723,0.995,0.51552,1.69476,1.97686,0.1943,0.71473,4.48556,0.008812,0.008812,0.008812
8,102.247,0.30628,1.12317,0.08482,0.21392,1.01524,0.97238,1,0.995,0.50889,0.97238,1,0.995,0.46269,1.55829,2.238,0.22314,0.7657,3.86491,0.008614,0.008614,0.008614
9,114.342,0.28024,1.06976,0.06317,0.20762,0.98242,0.94306,1,0.995,0.56456,0.94306,1,0.995,0.52926,1.64378,1.99283,0.21629,0.70492,4.30481,0.008416,0.008416,0.008416
10,126.584,0.25147,1.01929,0.04591,0.18304,0.95804,0.99289,1,0.995,0.51687,0.99289,1,0.995,0.58054,1.75974,1.97421,0.29801,0.82001,4.92542,0.008218,0.008218,0.008218
11,138.952,0.2303,0.97233,0.03555,0.16576,0.94233,0.94403,1,0.995,0.52486,0.94403,1,0.995,0.47197,1.70468,2.32811,0.25552,0.70302,4.64698,0.00802,0.00802,0.00802
12,151.093,0.22127,0.95083,0.02984,0.16591,0.92593,0.89025,1,0.96503,0.50265,0.82715,0.94118,0.86112,0.37186,1.58397,2.21408,0.23684,0.76332,4.07878,0.007822,0.007822,0.007822
13,163.321,0.23431,0.94936,0.02801,0.16945,0.9354,0.99614,1,0.995,0.53496,0.99614,1,0.995,0.44601,1.62148,2.24802,0.29299,0.65925,4.48113,0.007624,0.007624,0.007624
14,175.425,0.20591,0.91084,0.02305,0.15645,0.91176,0.99602,1,0.995,0.54514,0.99602,1,0.995,0.43325,1.71942,2.29752,0.30852,0.72899,4.45768,0.007426,0.007426,0.007426
15,187.523,0.19784,0.91175,0.02001,0.1504,0.90484,0.9806,1,0.995,0.51341,0.9806,1,0.995,0.53307,1.74094,2.01499,0.28967,0.73185,4.73008,0.007228,0.007228,0.007228
16,199.765,0.1927,0.89722,0.01987,0.14855,0.90157,0.89447,1,0.99222,0.54052,0.89447,1,0.99222,0.4327,1.58698,2.2764,0.21989,0.73606,4.41786,0.00703,0.00703,0.00703
17,211.977,0.17332,0.86185,0.01761,0.13456,0.88556,0.97195,1,0.995,0.51435,0.91478,0.94118,0.93266,0.48292,1.64707,2.29885,0.32381,0.81656,4.58191,0.006832,0.006832,0.006832
18,224.455,0.16279,0.84057,0.01601,0.12838,0.87508,0.97049,1,0.995,0.53695,0.9134,0.94118,0.91075,0.41063,1.68064,2.43294,0.2547,0.76579,4.93042,0.006634,0.006634,0.006634
19,236.703,0.17099,0.82513,0.01439,0.13033,0.87867,0.97568,1,0.995,0.57312,0.97568,1,0.995,0.42722,1.62502,2.45411,0.27551,0.66919,4.667,0.006436,0.006436,0.006436
20,248.995,0.16003,0.81725,0.01341,0.12538,0.87337,0.99081,1,0.995,0.54987,0.93253,0.94118,0.91318,0.41303,1.62365,2.52364,0.2945,0.74302,4.4565,0.006238,0.006238,0.006238
21,261.293,0.15572,0.81038,0.0127,0.12319,0.86688,0.98,1,0.995,0.52197,0.8658,0.88235,0.9012,0.38977,1.70083,2.61381,0.25935,0.78216,4.74419,0.00604,0.00604,0.00604
22,273.487,0.15146,0.81189,0.01199,0.12103,0.86481,0.94046,1,0.99222,0.53359,0.88514,0.94118,0.89709,0.39274,1.58601,2.61707,0.22046,0.63054,4.41943,0.005842,0.005842,0.005842
23,285.7,0.15245,0.81183,0.01153,0.11955,0.86152,0.91993,1,0.99222,0.53667,0.91993,1,0.99222,0.43894,1.67765,2.25241,0.21166,0.74961,4.69158,0.005644,0.005644,0.005644
24,298.021,0.14034,0.78529,0.01172,0.11148,0.85544,0.94423,0.99606,0.98889,0.5623,0.94423,0.99606,0.98889,0.4142,1.58407,2.66199,0.2129,0.72309,4.63996,0.005446,0.005446,0.005446
